,State Code,County Code,year,month,Land Use,Good,Moderate,Unhealthy,Unhealthy for Sensitive Group,Very Unhealthy
3405,6,65,2018,6,COMMERCIAL,0,2,8,8,0
3406,6,65,2018,6,DESERT,0,5,0,1,0
3407,6,65,2018,6,RESIDENTIAL,0,4,0,2,0
3408,6,65,2018,7,COMMERCIAL,0,8,4,9,0
3409,6,65,2018,7,DESERT,0,1,0,1,0
3410,6,65,2018,7,RESIDENTIAL,0,3,1,4,0
3411,6,65,2018,8,COMMERCIAL,0,10,0,14,0
3412,6,65,2018,8,RESIDENTIAL,0,4,1,2,0
3413,6,65,2018,9,COMMERCIAL,0,7,0,8,0
3414,6,65,2018,9,RESIDENTIAL,1,9,1,4,0
3415,6,65,2018,10,COMMERCIAL,7,7,0,1,0
3416,6,65,2018,10,DESERT,3,1,0,0,0
3417,6,65,2018,10,RESIDENTIAL,6,6,0,0,0
3418,6,65,2018,11,COMMERCIAL,6,2,0,0,0
3419,6,65,2018,11,DESERT,2,0,0,0,0
3420,6,65,2018,11,RESIDENTIAL,1,19,0,0,0
3421,6,65,2018,12,COMMERCIAL,5,0,0,0,0
3422,6,65,2018,12,RESIDENTIAL,4,19,0,3,0
3423,6,65,2019,1,COMMERCIAL,12,0,0,0,0
3424,6,65,2019,1,RESIDENTIAL,5,14,0,0,0
3425,6,65,2019,2,COMMERCIAL,6,1,0,0,0
3426,6,65,2019,2,DESERT,9,0,0,0,0
3427,6,65,2019,2,RESIDENTIAL,3,9,0,0,0
3428,6,65,2019,3,COMMERCIAL,8,6,0,0,0
3429,6,65,2019,3,DESERT,5,5,0,0,0
3430,6,65,2019,3,RESIDENTIAL,1,6,0,0,0
3431,6,65,2019,4,COMMERCIAL,2,11,0,3,0
3432,6,65,2019,4,DESERT,4,4,0,0,0
3433,6,65,2019,4,RESIDENTIAL,0,5,0,1,0
3434,6,65,2019,5,COMMERCIAL,7,10,0,2,0
3435,6,65,2019,5,DESERT,1,0,0,0,0
3436,6,65,2019,5,RESIDENTIAL,4,7,0,0,0
3437,6,65,2019,6,COMMERCIAL,0,7,1,12,0
3438,6,65,2019,6,DESERT,0,1,0,0,0
3439,6,65,2019,6,RESIDENTIAL,0,5,0,4,0
3440,6,65,2019,7,COMMERCIAL,0,7,4,8,0
3441,6,65,2019,7,RESIDENTIAL,0,2,1,9,0
3442,6,65,2019,8,COMMERCIAL,0,5,3,14,0
3443,6,65,2019,8,RESIDENTIAL,0,2,2,5,0
3444,6,65,2019,9,COMMERCIAL,2,6,0,4,0
3445,6,65,2019,9,DESERT,2,1,0,0,0
3446,6,65,2019,9,RESIDENTIAL,1,8,2,4,0
3447,6,65,2019,10,COMMERCIAL,1,7,0,1,0
3448,6,65,2019,10,DESERT,1,0,0,0,0
3449,6,65,2019,10,RESIDENTIAL,3,14,1,3,0
3450,6,65,2019,11,COMMERCIAL,6,1,0,0,0
3451,6,65,2019,11,DESERT,3,0,0,0,0
3452,6,65,2019,11,RESIDENTIAL,1,15,0,4,0
3453,6,65,2019,12,COMMERCIAL,10,0,0,0,0
3454,6,65,2019,12,RESIDENTIAL,6,14,0,1,0
3455,6,65,2020,1,COMMERCIAL,6,0,0,0,0
3456,6,65,2020,1,RESIDENTIAL,3,20,0,2,0
3457,6,65,2020,2,COMMERCIAL,9,0,0,0,0
3458,6,65,2020,2,DESERT,1,0,0,0,0
3459,6,65,2020,2,RESIDENTIAL,4,15,0,0,0
3460,6,65,2020,3,COMMERCIAL,9,0,0,0,0
3461,6,65,2020,3,DESERT,4,0,0,0,0
3462,6,65,2020,3,RESIDENTIAL,12,6,0,0,0
3463,6,65,2020,4,COMMERCIAL,10,3,0,2,0
3464,6,65,2020,4,DESERT,2,0,0,0,0
3465,6,65,2020,4,RESIDENTIAL,4,5,0,4,0
3466,6,65,2020,5,COMMERCIAL,1,9,0,5,0
3467,6,65,2020,5,DESERT,2,1,0,0,0
3468,6,65,2020,5,RESIDENTIAL,1,7,3,2,0
3469,6,65,2020,6,COMMERCIAL,2,6,0,11,0
3470,6,65,2020,6,DESERT,4,0,0,0,0
3471,6,65,2020,6,RESIDENTIAL,0,3,0,4,0
3472,6,65,2020,7,COMMERCIAL,0,7,1,8,0
3473,6,65,2020,7,RESIDENTIAL,0,8,4,3,0
3474,6,65,2020,8,COMMERCIAL,0,7,4,9,0
3475,6,65,2020,8,RESIDENTIAL,0,5,1,5,0
3476,6,65,2020,9,COMMERCIAL,0,2,1,7,0
3477,6,65,2020,9,RESIDENTIAL,0,8,4,8,0
3478,6,65,2020,10,COMMERCIAL,0,2,0,2,0
3479,6,65,2020,10,DESERT,1,1,0,0,0
3480,6,65,2020,10,RESIDENTIAL,0,14,3,8,0
3481,6,65,2020,11,COMMERCIAL,3,1,0,0,0
3482,6,65,2020,11,DESERT,2,0,0,0,0
3483,6,65,2020,11,RESIDENTIAL,1,23,0,0,0
3484,6,65,2020,12,COMMERCIAL,5,0,0,0,0
3485,6,65,2020,12,DESERT,4,0,0,0,0
3486,6,65,2020,12,RESIDENTIAL,3,19,0,0,0
3487,6,67,2018,1,AGRICULTURAL,1,0,0,0,0
3488,6,67,2018,1,COMMERCIAL,0,6,0,0,0
3489,6,67,2018,1,RESIDENTIAL,11,11,0,2,0
3490,6,67,2018,2,AGRICULTURAL,1,0,0,0,0
3491,6,67,2018,2,COMMERCIAL,0,2,0,0,0
3492,6,67,2018,2,RESIDENTIAL,18,7,0,0,0
3493,6,67,2018,3,AGRICULTURAL,2,0,0,0,0
3494,6,67,2018,3,RESIDENTIAL,28,1,0,0,0
3495,6,67,2018,4,AGRICULTURAL,5,0,0,0,0
