,State Code,County Code,year,month,Location Setting,Good,Moderate,Unhealthy,Unhealthy for Sensitive Group,Very Unhealthy
29510,45,51,2020,3,SUBURBAN,31,0,0,0,0
29511,45,51,2020,4,SUBURBAN,21,0,0,0,0
29512,45,51,2020,5,SUBURBAN,21,0,0,0,0
29513,45,51,2020,6,SUBURBAN,16,0,0,0,0
29514,45,51,2020,7,SUBURBAN,17,0,0,0,0
29515,45,51,2020,8,SUBURBAN,31,0,0,0,0
29516,45,51,2020,9,SUBURBAN,30,0,0,0,0
29517,45,51,2020,10,SUBURBAN,31,0,0,0,0
29518,45,51,2020,11,SUBURBAN,3,0,0,0,0
29519,45,63,2018,1,SUBURBAN,29,1,0,0,0
29520,45,63,2018,2,SUBURBAN,28,0,0,0,0
29521,45,63,2018,3,SUBURBAN,25,6,0,0,0
29522,45,63,2018,4,SUBURBAN,29,1,0,0,0
29523,45,63,2018,5,SUBURBAN,29,2,0,0,0
29524,45,63,2018,6,SUBURBAN,27,1,0,0,0
29525,45,63,2018,7,SUBURBAN,27,3,0,0,0
29526,45,63,2018,8,SUBURBAN,27,1,0,0,0
29527,45,63,2018,9,SUBURBAN,30,0,0,0,0
29528,45,63,2018,10,SUBURBAN,30,1,0,0,0
29529,45,63,2018,11,SUBURBAN,27,3,0,0,0
29530,45,63,2018,12,SUBURBAN,24,6,0,0,0
29531,45,63,2019,1,SUBURBAN,30,1,0,0,0
29532,45,63,2019,2,SUBURBAN,22,4,0,0,0
29533,45,63,2019,3,SUBURBAN,27,3,0,0,0
29534,45,63,2019,4,SUBURBAN,29,0,0,0,0
29535,45,63,2019,5,SUBURBAN,23,6,0,0,0
29536,45,63,2019,6,SUBURBAN,25,4,0,0,0
29537,45,63,2019,7,SUBURBAN,25,5,0,0,0
29538,45,63,2019,8,SUBURBAN,31,0,0,0,0
29539,45,63,2019,9,SUBURBAN,22,7,0,0,0
29540,45,63,2019,10,SUBURBAN,27,4,0,0,0
29541,45,63,2019,11,SUBURBAN,27,2,0,0,0
29542,45,63,2019,12,SUBURBAN,26,4,0,0,0
29543,45,63,2020,1,SUBURBAN,31,0,0,0,0
29544,45,63,2020,2,SUBURBAN,28,1,0,0,0
29545,45,63,2020,3,SUBURBAN,23,8,0,0,0
29546,45,63,2020,4,SUBURBAN,30,0,0,0,0
29547,45,63,2020,5,SUBURBAN,31,0,0,0,0
29548,45,63,2020,6,SUBURBAN,29,0,0,1,0
29549,45,63,2020,7,SUBURBAN,24,3,0,0,0
29550,45,63,2020,8,SUBURBAN,28,2,0,0,0
29551,45,63,2020,9,SUBURBAN,24,2,0,0,0
29552,45,63,2020,10,SUBURBAN,29,2,0,0,0
29553,45,63,2020,11,SUBURBAN,27,2,0,0,0
29554,45,63,2020,12,SUBURBAN,20,7,0,0,0
29555,45,73,2018,1,RURAL,31,0,0,0,0
29556,45,73,2018,2,RURAL,28,0,0,0,0
29557,45,73,2018,3,RURAL,29,2,0,0,0
29558,45,73,2018,4,RURAL,18,12,0,0,0
29559,45,73,2018,5,RURAL,26,5,0,0,0
29560,45,73,2018,6,RURAL,26,4,0,0,0
29561,45,73,2018,7,RURAL,31,0,0,0,0
29562,45,73,2018,8,RURAL,31,0,0,0,0
29563,45,73,2018,9,RURAL,30,0,0,0,0
29564,45,73,2018,10,RURAL,31,0,0,0,0
29565,45,73,2018,11,RURAL,30,0,0,0,0
29566,45,73,2018,12,RURAL,31,0,0,0,0
29567,45,73,2019,1,RURAL,31,0,0,0,0
29568,45,73,2019,2,RURAL,28,0,0,0,0
